"","gedlong","gedlat","ID","event_country","year","civdeath","region"
"29",98,22,50363,"Myanmar (Burma)",1999,11,"Asia"
"30",98.429888,21.304659,48969,"Myanmar (Burma)",1999,2,"Asia"
"31",102.6,12.86667,111337,"Cambodia (Kampuchea)",1991,0,"Asia"
"32",27.0666,11.95,6782,"Sudan",2004,26,"Africa"
"33",-66.879193,10.488011,198617,"Venezuela",1989,1,"Americas"
"34",98,22,50361,"Myanmar (Burma)",2005,2,"Asia"
"35",24.666667,11.5,29184,"Sudan",2012,0,"Africa"
"36",97.5,19.25,50938,"Myanmar (Burma)",1999,2,"Asia"
"37",98,22,49821,"Myanmar (Burma)",1999,3,"Asia"
"38",98,22,49971,"Myanmar (Burma)",1996,5,"Asia"
"39",8.5121,7.7411,15923,"Nigeria",2005,1,"Africa"
"40",135.98008,-1.038102,141928,"Indonesia",1998,7,"Asia"
"41",15.315,-4.329722,23777,"DR Congo (Zaire)",1991,0,"Africa"
"42",98,22,49904,"Myanmar (Burma)",1999,5,"Asia"
"43",36.816667,-1.283333,44127,"Kenya",2007,0,"Africa"
"44",105,35,73389,"China",1989,0,"Asia"
"45",92.36883,20.85761,49245,"Myanmar (Burma)",2007,2,"Asia"
"46",31.66048,9.53342,225261,"South Sudan",2016,30,"Africa"
"47",39.289722,14.606388,35643,"Ethiopia",1989,19,"Africa"
"48",18.583333,4.366667,62993,"Central African Republic",2013,800,"Africa"
"49",27.466667,-11.666667,23957,"DR Congo (Zaire)",1991,17,"Africa"
"50",28.95,-4.3,24143,"DR Congo (Zaire)",1996,100,"Africa"
